Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study,Citation,Includes Race?,Indigenous Variable Mentioned,"Indigenous Variables - included, excluded, aggregated",Aggregation variable,Reason,Number of Cities,Census Unit,Number of Census Units,Independent Variable,Dependent Variable,Result,Country
Differential access to park space based on country of origin within miami’s hispanic/latino population: A novel analysis of park equity,"Allain, M.L.; Collins, T.W.","Some U.S.-based park equity studies reveal that affluent and White neighborhoods have privileged access to greenspace. In such studies in the U.S. and elsewhere, park access indicators are typically examined in relation to measures of income, housing tenure, and broad race/ethnicity categories (e.g., Hispanic/Latino, Black, and White in the U.S.). The treatment of people as monolithic ethnic groups in park equity research is potentially misleading, particularly in global cities where ethnic populations are highly heterogeneous. In this study, we assess inequities in access to park space within the diverse Hispanic/Latino population of the Miami Metropolitan Statistical Area (MSA) based on national origin. We specified multivariable generalized estimating equations to examine social correlates of area-weighted park access at the census tract level. Our first model includes a variable for the proportion of the tract population of Hispanic/Latino ethnicity, which we substitute in the second model with variables representing the proportions of the tract population from the most populous country-of-origin groups in the MSA applicable to the Hispanic/Latino population. Our first model indicates robust negative relationships for the proportion Hispanic/Latino and Black/African American variables with area-weighted park access, adjusting for median household income, renter-occupancy, and old and young population composition. Our second model indicates negative relationships based on Cuban and Venezuelan neighborhood composition, while the four other country-of-origin subgroup variables exhibit statistically non-significant associations with area-weighted park access. Study findings have implications for the analysis of ethnicity categories in park equity research and interventions to promote park equity, especially in global cities. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,International Journal of Environmental Research and Public Health,18,16,,10.3390/ijerph18168364,#3508,Allain 2021,"Allain & Collins, 2021",Yes,Yes,Included,,,34,census tracts,1192,Native American; Pacific Islander,Area-weighted park access,Negative for both,United States
"Park inequities between and within racial/ethnic groups in the conterminous United States: A micro-scale, individual-level analysis","Allain, M.L.; Collins, T.; Grineski, S.; Rigolon, A.","Previous park equity research documents racial/ethnic inequities in access to park space, but no US national studies have examined park inequities using individual-level data, and few have examined racial/ethnic inequities beyond the major race/ethnicity, categories (e.g., Hispanic/Latino, White/Caucasian, Black/African American). Treating each race/ethnicity group monolithically may mislead, as within-group inequities exist. Here, we utilize restricted-access, individual-level American Community Survey microdata and fine-scale estimates of park accessibility to assess park inequities between major race/ethnicity groups and within those groups based on national/Tribal origin across the United States. In addition to generating new estimates of park access for race/ethnicity (sub)groups, we calculate absolute and relative racial/ethnic disparities in park accessibility nationally and by state. Findings indicate that among the major race/ethnicity groups, Native American and White groups have higher-than-average park access, while Asian, Black, and Latino/a/x groups have lower-than-average park access. Some national origin subgroups (e.g., Dominican, Nigerian) have particularly low park access. Results highlight marked disparities in park access between major race/ethnicity groups as well as within most major race/ethnicity groups based on national/Tribal origin. State-level analyses reveal higher absolute disparities in western states, where park accessibility is higher but inequitable by race/ethnicity, and higher relative disparities in eastern states, where park accessibility is lower and also inequitable. Our findings advance fundamental knowledge about US national park inequities for some major race/ethnicity groups (e.g., Asian, Native American, Pacific Islander) and national/Tribal origin subgroups. This new knowledge can be used to promote recognitional justice as a foundation for pursuing greenspace equity. © 2025 Elsevier GmbH",2025,Urban Forestry and Urban Greening,113,,,10.1016/j.ufug.2025.129031,#314,Allain 2025,"Allain et al., 2025",Yes,Yes,Included,,,n/a,census block,11078297,Native American and Alaska Native; Pacific Islander; tribal origins,Park area per capita,"Higher than natioonal average (positive), but differ by tribal origins",United States
"Race, ethnicity, income concentration and 10-year change in urban greenness in the United States","Casey, J.A.; James, P.; Cushing, L.; Jesdale, B.M.; Morello-Frosch, R.","Background: Cross-sectional studies suggest urban greenness is unequally distributed by neighborhood demographics. However, the extent to which inequalities in greenness have changed over time remains unknown. Methods: We estimated 2001 and 2011 greenness using Moderate-resolution Imaging Spectroradiometer (MODIS) satellite-derived normalized difference vegetative index (NDVI) in 59,483 urban census tracts in the contiguous U.S. We ﬁt spatial error models to estimate the association between baseline census tract demographic composition in 2000 and (1) 2001 greenness and (2) change in greenness between 2001 and 2011. Results: In models adjusted for population density, climatic factors, housing tenure, and Index of Concentration at the Extremes for income (ICE), an SD increase in percent White residents (a 30% increase) in 2000 was associated with 0.021 (95% CI: 0.018, 0.023) higher 2001 NDVI. We observed a stepwise reduction in 2001 NDVI with increased concentration of poverty. Tracts with a higher proportion of Hispanic residents in 2000 lost a small, statistically signiﬁcant amount of greenness between 2001 and 2011 while tracts with higher proportions of Whites experienced a small, statistically signiﬁcant increase in greenness over the same period. Conclusions: Census tracts with a higher proportion of racial/ethnic minorities, compared to a higher proportion of White residents, had less greenness in 2001 and lost more greenness between 2001 and 2011. Policies are needed to increase greenness, a health-promoting neighborhood asset, in disadvantaged communities. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",2017,International Journal of Environmental Research and Public Health,14,12,,10.3390/ijerph14121546,#4655,Casey 2017,"Casey et al., 2017",Yes,Yes,Included,,Note that they were later excluded from a secondary analysis due to small numbers,n/a,census tracts,59483,American Indian,NDVI,negative correlation for NDVI; no effect for change in NDVI,United States
"More extremely hot days, more heat exposure and fewer cooling options for people of color in Connecticut, U.S.","Chen, S.; Lund, K.; Murphy-Dunning, C.; Seto, K.C.","It is well-documented that people of color in the U.S. are disproportionately exposed to extreme urban heat. However, most studies have focused on large cities for one point in time, and less is known about how heat exposure changes over time in smaller cities. Here, we present a study of the changing nature of urban heat exposure and cooling strategies for ten cities in Connecticut in the U.S. Our results show that people of color experience more heat exposure and fewer adaptation strategies. They experienced higher overall temperatures, more extremely hot days, and larger increases in heat exposure. Also, they have lower air conditioning ownership rates and lower tree cover. Taken together, the results indicate that people of color are not only exposed to higher temperatures but also disproportionately exposed to increasing temperatures over time. With lower heat adaptation capacity, people of color are more vulnerable to increasing urban heat. © The Author(s) 2024.",2024,npj Urban Sustainability,4,1,,10.1038/s42949-024-00186-5,#1384,Chen 2024,"Chen et al., 2024b",Yes,Yes,Included,,,10,census block,,American Indian and Alaska Native; then merged Asian and Pacific Islander,NDVI,Negative (but statistical tests not reported),United States
Comparing methods for measuring park access and equity using US census microdata in metropolitan Miami,"Collins, T.W.; Allain, M.L.; Grineski, S.E.; Rigolon, A.","Knowledge from prior park equity studies has been limited by differences in the spatial analytic techniques applied to measure park accessibility, a lack of systematic methods comparisons, and overreliance on aggregated spatial data. Our study addresses these issues using individual-level, restricted-access US Census American Community Survey microdata (n = 339,000) from 2015 to 2019 to compare (a) alternative techniques for measuring access to park space and (b) how those measurement techniques affect inferences regarding patterns of inequity. It applies spatial analytic techniques to generate four park area per capita measures—one gold standard measure at the census block level and three widely-used measures at the census tract level in metropolitan Miami, USA—and compares the four methods using multiple analyses. The four methods generate somewhat dissimilar park accessibility values for individual residents. Bivariate analyses indicate that racially/ethnically minoritized or lower socioeconomic status people have less park accessibility than people from more advantaged groups, no matter the measure used. Multivariable models for each park accessibility measure yield largely dissimilar results regarding associations with social indicators, with consistent results for only two social indicators: Hispanic/Latino and older (>64 years) people have less park area per capita relative to non-Hispanic White and middle-aged (18–64 years) people, respectively. Findings suggest that advanced, fine-scale spatial analytic techniques should be applied to accurately characterize park accessibility for academic research and decision-making about parks. Findings also highlight the need to increase park space access for marginalized groups in metropolitan Miami. © 2025 Elsevier Ltd",2025,Applied Geography,178,,,10.1016/j.apgeog.2025.103579,#740,Collins 2025,"Collins et al., 2025",Yes,Yes,Included,,,107 incorporated places (derived from online resources); 3 counties,individuals; census tract; census block,individuals: 339000; census block: 81428; census tracts: 1192,American Indian or Alaska Native; Pacific Islander included but not showndue to low counts,park accessibility,positive throughout,United States
Behavior-encoded models reveal differentiated access to public cooling environment by race and income,"Li, C.; Su, X.; Fan, C.; Han, H.","Extreme heat events caused by continuous anthropogenic climate change have been increasing. Establishing public cooling environments (PCEs) is imperative for protecting public health and enhancing productivity. Yet, disparities in access to PCEs based on race, travel behavior, and income status can undermine their role in helping communities cope with extreme heat. This study investigates the varied access to three types of PCEs across 40 U.S. counties. Our findings reveal that White people enjoy greater access to PCEs than other groups, especially to tree-covered green spaces (TCGSs), outperforming Black people approximately three times. Driving can disproportionately narrow the racial/ethnic inequality gap compared to walking. Non-expense-required public environments (NERPEs) and expense-required public environments (ERPEs) are less accessible to high-income groups. Our research underscores the ongoing challenges in achieving environmental justice through equitable PCE access and stresses the importance of further studies and policy actions to eliminate disparities. © The Author(s) 2024.",2024,npj Urban Sustainability,4,1,,10.1038/s42949-024-00157-w,#1429,Li 2024,"Li et al., 2024b",Yes,Yes,Included,,,40 counties,census block group,44539,American Indian,tree cover,not significant,United States
Who has access to urban vegetation? A spatial analysis of distributional green equity in 10 US cities,"Nesbitt, L.; Meitner, M.J.; Girling, C.; Sheppard, S.R.J.; Lu, Y.","This research examines the distributional equity of urban vegetation in 10 US urbanized areas using very high resolution land cover data and census data. Urban vegetation is characterized three ways in the analysis (mixed vegetation, woody vegetation, and public parks), to reflect the variable ecosystem services provided by different types of urban vegetation. Data are analyzed at the block group and census tract levels using Spearman's correlations and spatial autoregressive models. There is a strong positive correlation between urban vegetation and higher education and income across most cities. Negative correlations between racialized minority status and urban vegetation are observed but are weaker and less common in multivariate analyses that include additional variables such as education, income, and population density. Park area is more equitably distributed than mixed and woody vegetation, although inequities exist across all cities and vegetation types. The study finds that education and income are most strongly associated with urban vegetation distribution but that various other factors contribute to patterns of urban vegetation distribution, with specific patterns of inequity varying by local context. These results highlight the importance of different urban vegetation measures and suggest potential solutions to the problem of urban green inequity. Cities can use our results to inform decision making focused on improving environmental justice in urban settings. © 2018 Elsevier B.V.",2019,Landscape and Urban Planning,181,,51-79,10.1016/j.landurbplan.2018.08.007,#4443,Nesbitt 2019,"Nesbitt et al., 2019",Yes,Yes,Included,,,10,block group AND census tract,block groups: 35065; census tracts: 10259,American Indian or Alaska Native,"mixed vegetation and woody vegetation, derived from NDVI, at the block group unit. Park access within 1,000 m of centroids of block groups. Park access is the amount of parks m2 within that 1 000 m buffer","mixed (n/s and negative for mixed vegetation and woody vegetation, one pos one neg for park area, the rest n/s)",United States
"Wealthy, educated, and… non-millennial? Variable patterns of distributional inequity in 31 Canadian cities","Quinton, J.; Nesbitt, L.; Czekajlo, A.","This article assesses the distribution of urban vegetation in 31 Canadian cities to determine whether certain social-economic/demographic factors are associated with increased proximity to greenness. Using spatial lag models, Canadian census data, and urban ‘greenness fractions’ derived from Landsat imagery, we find diversity between cities in the factors associated with increased urban vegetation. This makes it difficult to establish a single overarching narrative about the state of environmental justice and green equity as it pertains to proximity to vegetation in Canadian cities. Factors such as greater household income and educational attainment were positively associated with proximity to vegetation in numerous cities, while the proportion of millennials was often negatively associated. Variables including the proportion of visible minorities, Indigenous people, and recent immigrants infrequently had significant associations with urban vegetation. These results highlight the need for planning and management actions tailored to individual Canadian cities to improve green equity for marginalized and underserved groups. We discuss the need for funding for greening initiatives and maintenance; democratic participation, engagement, and education opportunities for residents; urban planning that considers the challenge of greening dense environments; and consideration of potential negative outcomes of greening, such as gentrification, to improve green equity in Canadian cities. © 2022 The Authors",2022,Landscape and Urban Planning,227,,,10.1016/j.landurbplan.2022.104535,#2894,Quinton 2022,"Quinton et al., 2022",Yes,Yes,Included,,,31,Dissemination Areas,27608,Indigenous identity,Greenness fraction (%) (30 m spatial resolution),"Mixed (not significant for 27, neg for 3, pos for 1)",Canada
Inequitable Spatial and Temporal Patterns in the Distribution of Multiple Environmental Risks and Benefits in Metro Vancouver,"Ren, S.; Giang, A.","The urban environment impacts residents' health and well-being in many ways. Environmental benefits and risks may be interactively and inequitably distributed across different populations in cities, and these patterns may change over time. Here, we assess the spatial distribution of environmental risks and benefits in pairs, considering synergies and trade-offs, in an illustrative metropolitan area (Metro Vancouver) in Canada in the years 2006 and 2016. We classify census dissemination areas as sweet, sour, risky, or medium spots based on relative exposures for six environmental combinations: Walkability and NO<inf>2</inf>; heat stress and NO<inf>2</inf>; vegetation coverage and NO<inf>2</inf>; vegetation coverage and heat stress; walkability and accessibility to natural recreational areas; and heat stress and accessibility to natural recreational areas. We evaluate whether different population groups are disproportionately exposed to lower environmental quality based on linear regressions and other metrics. We find that while performance for individual environmental variables improved over the decade, considering their combinations, sweet spots became sweeter and sour spots became sourer. Residents with high material and social deprivation and visible minorities were disproportionately exposed to lower environmental quality in both years for most of the environmental combinations. Further, we find that these inequities were not improving over time for all groups: for instance, South Asian residents in the region faced higher disproportionate burdens or diminished access to benefits in 2016, as compared to 2006. Given these findings, we suggest considerations of cumulative exposure in prioritizing areas for intervention, targeting the sour and risky spots persistently experienced by overburdened populations. © 2024. The Author(s). GeoHealth published by Wiley Periodicals LLC on behalf of American Geophysical Union.",2024,GeoHealth,8,12,,10.1029/2024GH001157,#1365,Ren 2024,"Ren & Giang, 2024",Yes,Yes,Included,,,23,Dissemination Area,3442,Indigenous Identity,Walkability; Vegetation Coverage; Accessibility to Park,"Mixed (negative for vegetation coverage, and accessibility to park and waterbody when included with head stress. Positive for walkability and walkability and accessibility to park and waterbody)",Canada
"An investigation of 15-minute neighbourhoods in Surrey, British Columbia: A community-informed social equity analysis for a fast-growing, diverse, Canadian city","Sharma, A.; Chandi, A.; Winters, M.","Introduction: Auto-centric urban design drives health and environmental issues. Proximity-based concepts like “15-minute neighbourhoods” can reduce these harms. Most studies on 15-minute neighbourhoods have been in European centres, and few have incorporated community views. Set in a fast-growing city, this study developed a community-informed definition of 15-minute neighbourhoods and explored social equity in accessibility to amenities. Methods: Based in Surrey, British Columbia, Canada (population 580,000), this mixed-methods study involved mapping and community engagement. We created preliminary maps of 15-minute neighbourhoods by using open data for 6 amenity types (community centres, educational facilities, grocery stores, health facilities, parks, and public transit) and mapping spatial access by walking/cycling for every dissemination area using ArcGIS and r5r. We then hosted focus groups with equity-deserving residents (n = 102) to understand if these preliminary maps aligned with their experiences and gather input on what was missing and what concerns they had. We drew on participants’ input to create a community-informed definition and refined maps. With census data (2021), we conducted a social equity analysis by calculating the percentage of residents living in 15-minute neighbourhoods and assessing access for equity-deserving populations. Results: Overall, 52% of Surrey residents lived in areas considered 15-minute neighbourhoods. Participants felt maps missed some amenities (e.g., places of worship) and that beyond amenities, supportive infrastructure, safety, and terrain were vital. We produced bivariate maps, including microscale design features, highlighting areas with many amenities but little supportive infrastructure. The social equity analysis did not highlight inequities in spatial access; rather, areas with more children/youth living in one-parent households, Indigenous peoples, low income residents, and recent immigrants were more likely to be 15-minute neighbourhoods. Conclusions: Community voices added insights into factors beyond amenities that matter. As proximity-based planning proceeds, care is needed to ensure that future city design meets the needs of all residents. © 2025 The Authors",2025,Journal of Transport and Health,42,,,10.1016/j.jth.2025.102021,#723,Sharma 2025,"Sharma et al., 2025",Yes,Yes,Included,,,1,dissemination areas,665,Indigenous identity,park access (part of broader 15-minute walk),Positive,Canada
