Citation,White,Black,Hispanic,Situational Vulnerability,Indigenous,Indian,First Nation,Métis,Metis,Inuit,reserve,American Indian,Alaska Native,Enrolled Tribe,Principal Tribe,Native Hawaiian,Samoan,Chamorro,Pacific Islander
"Abercrombie et al., 2008",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allain & Collins, 2021",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Allain et al., 2025",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Allen et al., 2013",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almeter et al., 2018",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminipouri et al., 2016",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguelovski et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguelovski et al., 2024",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anoh & Xia, 1996",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apparicio et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashraf & Lee, 2025",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Aznarez et al., 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baker et al., 2019",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bara et al., 2022",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benz & Burney, 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bidadian et al., 2025",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bigsby et al., 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Braun et al., 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks et al., 2016",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Browning & Rigolon, 2018",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruton & Floyd, 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burghardt et al., 2023",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrier et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey et al., 2017",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Castillo-Castillo et al., 2025",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Castro, 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chakraborty et al., 2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chavez et al., 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen & Hanlon, 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2019a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2019b",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2024a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chen et al., 2024b",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Chen, 2024",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheng et al., 2022",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cho & Choi, 2005",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choi et al., 2020",1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"Collins et al., 2025",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Comer & Skraastad-Jurney, 2008",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connolly et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conway et al., 2011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corley, 2024",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cutts et al., 2009",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dai, 2011",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darling et al., 2025",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davis et al., 2012",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dawson et al., 2018",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Devisscher et al., 2023",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialesandro et al., 2021",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ding et al., 2025",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dong & Miller, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dong et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan et al., 2013",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan et al., 2014",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elderbrock et al., 2024",1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
"Elliott et al., 2019",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elwell Bostrom et al., 2017",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engelberg et al., 2016",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ermagun et al., 2025",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fan et al., 2019",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fang et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferenchak & Barney, 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filazzola et al., 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleming & Steenberg, 2023",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fleming et al., 2025",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flohr et al., 2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fossa et al., 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foster et al., 2024",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Francis et al., 2023",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
